vendor_id,vendor_key,NAME,company_type,display_name,street_address,state,zip,url,created_date,first_name,last_name,email_address,phone,punch_out_type,direct_pay_fee,cogs_discount
78,3ea8147c-2cc6-45f8-ace1-dcfda61633f5,"CytomX Therapeutics, Inc.",Cooperative,"CytomX Therapeutics, Inc.",1104 Anvil Avenue,Illinois,60208,https://goo.ne.jp/ad/nam.log?,2024-10-22 00:00:12,Harriott,Jeffels,harriott.jeffels@hotmail.com,(847) 330-2693,Meeting,15.32,15.32
79,a2e3d705-137c-486f-b958-8f6839b79539,"Forrester Research, Inc.",Private,"Forrester Research, Inc.",5668 Newburn Lane,Florida,32830,https://seattletimes.com/utrisque/litteris/uti/velint/vel/sententia.xlsx?,2024-10-22 00:01:51,Marlane,Wittke,marlane.wittke@outlook.com,(407) 005-8476,Early Departure,93.63,93.63
80,aeb11d36-41c1-4c73-ad77-784e93321f6d,"Rennova Health, Inc.",Nonprofit,"Rennova Health, Inc.",7461 Foxwood Lane,Oregon,97296,https://artisteer.com/plus/causam.msh2?,2024-10-22 00:06:15,Igor,Renyard,igor.renyard@hotmail.com,(503) 639-2077,Break,99.86,99.86
81,a14dd5c2-ee56-415d-ba85-ac56b12ca21a,PowerShares Golden Dragon China Portfolio,Sole Proprietorship,PowerShares Golden Dragon China Portfolio,7171 New Ellenton Loop,Idaho,83722,http://oaic.gov.au/soliditatem/censet/in/alienum.deb?recte,2024-10-22 00:11:43,Pate,de Lloyd,pate.delloyd@gmail.com,(208) 199-5541,Medical Appointment,97.84,97.84
82,9f60e308-6151-457f-b253-eefb40cf119d,Eaton Vance NextShares Trust,Holding,Eaton Vance NextShares Trust,986 Dario Court,Texas,79159,http://privacy.gov.au/liberalitati/magis/esse.ini?quam&his&qui&rebus,2024-10-22 00:17:01,Shaylynn,Petrozzi,shaylynn.petrozzi@gmail.com,(806) 435-5528,Overtime End,61.96,61.96
83,b783b8f1-7a69-4d01-8bc5-691decbe4015,Amdocs Limited,Franchise,Amdocs Limited,6058 Loma Lane,Oklahoma,73190,https://aboutads.info/fieri/intellegimus/ut.css?ut&de,2024-10-22 00:18:36,Lucinda,Lyness,lucinda.lyness@rediffmail.com,(405) 322-4918,Overtime Start,86.38,86.38
84,e5bdf6ba-0dbc-4481-b91e-b8c844ce155e,"Colony Bankcorp, Inc.",Enterprise,"Colony Bankcorp, Inc.",12379 Beebe Court,South Carolina,29615,https://deviantart.com/quae/oblique/ferantur/interdictum.url?refert,2024-10-22 00:23:14,Byrom,Spilsted,byrom.spilsted@yahoo.com,(864) 046-1420,On Call,157.59,157.59
85,335c94c8-e391-49c9-8139-db4b50b0d4a5,Trimble Inc.,Corporation,Trimble Inc.,14319 Lartigue Lane,New York,10131,https://oracle.com/tollatur/triarius.odt?torquatus&quoniam&nacti,2024-10-22 00:31:39,Rosabelle,Denyakin,rosabelle.denyakin@gmail.com,(212) 258-3531,Emergency Leave,131.36,131.36
86,8e399636-845f-4452-bd1e-3d4376babdc6,"Evoke Pharma, Inc.",Government,"Evoke Pharma, Inc.",11226 Edgemoor Terrace,Arizona,85737,https://networkadvertising.org/labefactant/saepe/rem/publicam/meo.jpeg?ad&libidinem&fingitur&ait,2024-10-22 00:41:14,Cacilie,Dantesia,cacilie.dantesia@gmail.com,(520) 170-3292,Lunch,121.08,121.08
87,8b85079c-2d3c-459d-9b49-2748c44e63e1,K12 Inc,Limited Liability,K12 Inc,13788 Tangerine Circle,New York,10275,https://columbia.edu/re/cum/sit/inter/gravis.svg?quidem,2024-10-22 00:48:58,Cchaddie,Jacobson,cchaddie.jacobson@yahoo.com,(212) 785-6733,Training,177.99,177.99
88,f8273edb-eba9-42cf-93c7-abb8dcd2c951,FlexShares STOXX US ESG Impact Index Fund,Subsidiary,FlexShares STOXX US ESG Impact Index Fund,7408 Davidson Avenue,District of Columbia,20414,https://skyrock.com/cum/soluta/dignitatis.yml?armatum&hostem,2024-10-22 00:58:14,Devina,Gladdish,devina.gladdish@hotmail.com,(202) 431-4353,Remote Work,99.01,99.01
89,ed4fc4d3-a4a6-41b2-af45-44e6fecfbbe0,BOK Financial Corporation,Public,BOK Financial Corporation,7313 Zick Court,Louisiana,70883,http://netlog.com/dediti/incurrunt.jsp?doctiores&cives&mei,2024-10-22 01:03:40,Shelli,Merredy,shelli.merredy@hotmail.com,(225) 085-3593,Late Arrival,99.26,99.26
90,0c5f4fab-79e9-466b-b8c4-d584731c67c4,Pope Resources,Partnership,Pope Resources,14270 Lisbon Lane,California,90030,https://example.com/libero/tempore/erimus.pfx?esse&cillum&dolore&eu,2024-10-22 01:09:03,Tabbatha,Newall,tabbatha.newall@hotmail.fr,(213) 638-1863,Personal Errand,167.99,167.99
91,bafa34e5-2d70-4c96-a803-f5c6b8f4f5d4,Adamis Pharmaceuticals Corporation,Startup,Adamis Pharmaceuticals Corporation,6697 Ducksbury Street,Texas,78215,https://foxnews.com/ante/explicari.mds?,2024-10-22 01:18:36,Belva,Santino,belva.santino@yahoo.co.in,(210) 935-2454,Shift Change,97.32,97.32
92,fd29c657-99c6-483c-b72d-5108d9c260c1,United States Cellular Corporation,Joint Venture,United States Cellular Corporation,2832 Sun Valley Place,New York,10125,https://hubpages.com/vel/copiosae/vel/elegantis/ornatus/illam.htm?reici,2024-10-22 01:23:37,Claresta,Grant,claresta.grant@free.fr,(212) 574-8767,Field Visit,37.17,37.17
93,9f620da0-0261-431a-80d2-440278335f1f,Nuveen New York Municipal Value Fund 2,Franchise,Nuveen New York Municipal Value Fund 2,5371 Santa Cruz Drive,California,95123,http://liveinternet.ru/inpotenti/nec.mkv?gravis&et&doctus&adolescens&ei,2024-10-22 01:26:18,Ruddy,Denington,ruddy.denington@yahoo.com,(408) 859-1473,Overtime Start,92.10,92.10
94,0f04f5d7-262c-43d9-b6a4-0d5074bee76c,SBA Communications Corporation,Subsidiary,SBA Communications Corporation,4243 Carnation Court,California,92725,http://livejournal.com/voluptate/quaeri/de/qua/omne/loquerer.xz?saepe&cur&tam,2024-10-22 01:30:31,Baron,Priddey,baron.priddey@gmail.com,(714) 576-5645,Remote Work,73.39,73.39
95,f20208ed-6878-42ee-ab1a-2f222ffc8104,"Maiden Holdings, Ltd.",Corporation,"Maiden Holdings, Ltd.",13765 Misty Court,Michigan,48107,https://dailymotion.com/voluptatibus/cum/inquit.msh2xml?usu&venire,2024-10-22 01:34:03,Julee,Romanelli,julee.romanelli@yahoo.com,(734) 613-1161,Emergency Leave,141.05,141.05
96,66e19fd9-d0de-4e46-9a20-84a6efee545b,"Ambarella, Inc.",Private,"Ambarella, Inc.",2561 Orourke Road,Washington,98664,https://alexa.com/factis/illustribus/et/gloriosis/quosdam.html?omnes&bene,2024-10-22 01:43:18,Abigael,Andres,abigael.andres@gmail.com,(360) 707-6946,Early Departure,73.26,73.26
97,c24ea21d-8047-42f0-9681-8b6cfd4ab0d2,"Energy Recovery, Inc.",Nonprofit,"Energy Recovery, Inc.",3639 Bainan Place,Louisiana,70142,http://theglobeandmail.com/iniuria/quae/autem/inanes/sunt/conquirendae.cue?consequentis,2024-10-22 01:45:50,Rich,Supple,rich.supple@yahoo.com,(504) 878-8630,Break,67.35,67.35
98,afd772cf-e39e-4521-afb9-f7478d6f179a,"First US Bancshares, Inc.",Holding,"First US Bancshares, Inc.",14971 Geddes Terrace,Pennsylvania,15205,https://google.pl/enim/certe/quoniam.php?imperii&disciplinam&exercitumque,2024-10-22 01:49:00,Natalee,Dudbridge,natalee.dudbridge@cox.net,(724) 887-1277,Overtime End,167.25,167.25
99,5c1478f9-19ba-438a-98e4-905e7fdb384a,Public Service Enterprise Group Incorporated,Cooperative,Public Service Enterprise Group Incorporated,13223 Countryside Path,Pennsylvania,19191,https://livejournal.com/triarius/leniter/arridens/tu/officii.mdf?,2024-10-22 01:58:58,Nathalie,Jaggar,nathalie.jaggar@yahoo.com,(215) 670-9870,Meeting,125.90,125.90
100,35084850-7c4e-43c2-8a88-a049a31a05d4,"TRI Pointe Group, Inc.",Government,"TRI Pointe Group, Inc.",10698 Werdebaugh Way,Georgia,30356,https://wikimedia.org/patrius/cum/idem/fabellas/latinas/cum.asc?,2024-10-22 02:07:54,Johannes,Seear,johannes.seear@hotmail.com,(404) 507-6974,Lunch,151.37,151.37
